Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1045,Alice,Brown,25,HR-New York,Pending,2021-06-20,61311,alice.brown@example.com,-61027768,Average,True
EMP1046,Grace,Garcia,32,Cloud Tech-Texas,Active,2024-12-13,98371,grace.garcia@example.com,-7499564121,Excellent,False
EMP1047,Alice,Davis,35,Sales-Illinois,Active,2022-05-30,58921,alice.davis@example.com,-310303722,Average,True
EMP1048,Alice,Miller,35,Admin-Nevada,Active,2023-09-27,57196,alice.miller@example.com,-6831472759,Excellent,False
EMP1049,Grace,Miller,32,DevOps-New York,Active,2024-11-05,61375,grace.miller@example.com,-1227770792,Excellent,True
EMP1050,Charlie,Davis,40,Cloud Tech-New York,Pending,2021-11-11,104767,charlie.davis@example.com,-3496050165,Excellent,False
EMP1051,David,Miller,35,Admin-Nevada,Active,2022-02-22,111052,david.miller@example.com,-7998407677,Good,False
EMP1052,David,Williams,30,Finance-California,Inactive,2024-08-07,105674,david.williams@example.com,-9973080694,Good,False
EMP1053,Alice,Brown,30,Finance-California,Inactive,2024-11-05,54859,alice.brown@example.com,-8146717956,Average,False
EMP1054,Frank,Davis,32,Finance-Nevada,Pending,2021-11-09,115747,frank.davis@example.com,-6024375737,Excellent,True
EMP1055,Eva,Brown,30,Sales-California,Active,2020-08-10,91760,eva.brown@example.com,-3959724664,Excellent,True
EMP1056,Frank,Garcia,40,Sales-Illinois,Active,2022-02-27,112965,frank.garcia@example.com,-7293417222,Good,False
EMP1057,Alice,Smith,40,Cloud Tech-Illinois,Pending,2023-11-07,100360,alice.smith@example.com,-2971674337,Excellent,False
EMP1058,David,Williams,35,Finance-Texas,Pending,2021-11-07,93621,david.williams@example.com,-54522800,Good,False
EMP1059,Bob,Jones,35,Sales-California,Pending,2022-04-16,72833,bob.jones@example.com,-5619318373,Excellent,True
EMP1060,Charlie,Williams,30,Finance-Nevada,Inactive,2023-10-19,102369,charlie.williams@example.com,-5508428909,Average,True
EMP1061,Eva,Davis,40,Sales-Texas,Inactive,2021-08-10,64713,eva.davis@example.com,-7711991807,Excellent,True
EMP1062,Frank,Jones,40,Finance-Florida,Pending,2021-03-13,85782,frank.jones@example.com,-1213524786,Excellent,True
EMP1063,Charlie,Smith,25,HR-Illinois,Pending,2023-07-20,93348,charlie.smith@example.com,-1255213759,Poor,False
EMP1064,David,Davis,35,Admin-New York,Active,2020-02-20,53235,david.davis@example.com,-3754821455,Good,False
EMP1065,Bob,Johnson,40,Finance-Nevada,Pending,2021-02-02,100284,bob.johnson@example.com,-5328632665,Excellent,False
EMP1066,Grace,Brown,30,Admin-Nevada,Pending,2020-01-12,112486,grace.brown@example.com,-7850720810,Excellent,True
EMP1067,Bob,Smith,40,Admin-New York,Pending,2022-11-26,82518,bob.smith@example.com,-5562606028,Poor,True
EMP1068,Bob,Brown,40,Admin-Florida,Pending,2022-12-23,119152,bob.brown@example.com,-846684549,Poor,True
EMP1069,Heidi,Miller,32,DevOps-Illinois,Inactive,2024-08-28,113480,heidi.miller@example.com,-4892673898,Good,False
EMP1070,Charlie,Johnson,40,Finance-California,Active,2024-09-16,94636,charlie.johnson@example.com,-7563410855,Poor,False
EMP1071,Heidi,Johnson,30,HR-Florida,Active,2024-01-01,70001,heidi.johnson@example.com,-2884318847,Average,True
EMP1072,Frank,Smith,32,Cloud Tech-New York,Active,2021-04-18,76812,frank.smith@example.com,-5200894345,Poor,False
EMP1073,David,Johnson,25,Finance-Florida,Inactive,2023-01-16,82615,david.johnson@example.com,-8105485100,Average,True
EMP1074,Grace,Jones,40,Sales-Nevada,Active,2024-10-20,111646,grace.jones@example.com,-7490753997,Good,True
EMP1075,Heidi,Johnson,25,HR-California,Inactive,2024-10-13,112415,heidi.johnson@example.com,-9354492682,Good,False
EMP1076,David,Brown,40,Admin-California,Inactive,2022-09-21,52032,david.brown@example.com,-1589357125,Good,True
EMP1077,Grace,Brown,30,Finance-New York,Pending,2022-12-29,51888,grace.brown@example.com,-6110627370,Good,False
EMP1078,Alice,Davis,25,DevOps-Florida,Active,2024-11-10,82319,alice.davis@example.com,-5869886496,Good,True
EMP1079,Grace,Brown,35,Admin-Florida,Inactive,2021-11-22,103286,grace.brown@example.com,-6776228276,Average,False
EMP1080,Grace,Davis,35,Cloud Tech-Florida,Active,2024-03-14,87759,grace.davis@example.com,-2881377027,Average,False
EMP1081,Frank,Brown,30,DevOps-Texas,Pending,2020-03-23,102796,frank.brown@example.com,-5196115939,Good,False
EMP1082,David,Jones,25,Sales-New York,Active,2020-09-15,83149,david.jones@example.com,-8215454469,Poor,True
EMP1083,David,Garcia,40,DevOps-California,Inactive,2020-12-09,92412,david.garcia@example.com,-2296044326,Excellent,True
EMP1084,Bob,Davis,30,HR-Texas,Pending,2020-02-22,115022,bob.davis@example.com,-185106793,Good,False
EMP1085,Grace,Williams,40,DevOps-New York,Active,2023-04-27,98343,grace.williams@example.com,-9756792286,Poor,False
EMP1086,Bob,Miller,35,DevOps-Illinois,Active,2024-06-18,118869,bob.miller@example.com,-7725199662,Excellent,True
EMP1087,Frank,Smith,32,Finance-Nevada,Inactive,2020-05-21,85417,frank.smith@example.com,-6580741208,Good,True
EMP1088,Grace,Brown,40,Cloud Tech-Florida,Inactive,2023-07-25,112410,grace.brown@example.com,-4818139889,Good,True
EMP1089,Charlie,Johnson,40,Admin-Nevada,Pending,2023-08-25,68906,charlie.johnson@example.com,-9837801819,Average,False
EMP1090,Heidi,Garcia,40,Finance-Nevada,Pending,2021-07-03,72561,heidi.garcia@example.com,-4339718955,Excellent,True
EMP1091,Bob,Brown,35,Finance-New York,Inactive,2023-03-13,92723,bob.brown@example.com,-9070562607,Excellent,True
EMP1092,Alice,Johnson,40,HR-New York,Inactive,2021-03-10,74838,alice.johnson@example.com,-5641118241,Poor,False
EMP1093,Eva,Miller,32,DevOps-California,Pending,2020-01-21,86164,eva.miller@example.com,-2412462094,Average,True
EMP1094,David,Miller,40,Finance-Illinois,Active,2023-11-15,83327,david.miller@example.com,-2004615264,Average,True
EMP1095,Heidi,Miller,25,Cloud Tech-California,Active,2022-04-08,98425,heidi.miller@example.com,-4610339936,Average,True
EMP1096,Frank,Johnson,40,Sales-Illinois,Inactive,2022-05-21,119764,frank.johnson@example.com,-8861405785,Average,False
EMP1097,Frank,Brown,40,HR-California,Inactive,2021-04-17,58446,frank.brown@example.com,-1706304890,Excellent,False
EMP1098,Bob,Miller,32,DevOps-New York,Active,2021-03-19,101702,bob.miller@example.com,-3824967182,Excellent,False
EMP1099,Eva,Jones,25,Admin-California,Active,2022-01-09,85155,eva.jones@example.com,-2582386869,Good,False
EMP1100,Charlie,Davis,35,Cloud Tech-Texas,Pending,2021-08-21,98819,charlie.davis@example.com,-794200748,Good,False
EMP1101,Heidi,Johnson,25,Cloud Tech-Illinois,Inactive,2022-08-19,83510,heidi.johnson@example.com,-4653984027,Average,False
EMP1102,Alice,Johnson,35,Finance-Texas,Active,2022-03-31,84422,alice.johnson@example.com,-9141612845,Average,False
EMP1103,Alice,Brown,30,Admin-Illinois,Inactive,2020-06-23,119574,alice.brown@example.com,-3985547434,Average,True
EMP1104,Grace,Johnson,32,Sales-Illinois,Active,2024-05-07,86580,grace.johnson@example.com,-5379502096,Good,True
EMP1105,Heidi,Johnson,35,Sales-Florida,Inactive,2023-03-10,93472,heidi.johnson@example.com,-26876810,Poor,False
EMP1106,Bob,Miller,30,DevOps-New York,Inactive,2023-09-14,55683,bob.miller@example.com,-8071569561,Poor,True
EMP1107,Bob,Brown,30,Cloud Tech-Florida,Inactive,2023-11-12,91567,bob.brown@example.com,-175370303,Good,True
EMP1108,David,Miller,35,DevOps-California,Pending,2024-10-26,81782,david.miller@example.com,-5319433749,Good,False
EMP1109,Eva,Davis,32,DevOps-New York,Inactive,2020-08-23,88119,eva.davis@example.com,-4793036148,Good,True
EMP1110,Eva,Garcia,30,Cloud Tech-Texas,Active,2024-06-11,71533,eva.garcia@example.com,-8728399920,Good,True
EMP1111,Eva,Davis,40,Cloud Tech-Florida,Pending,2021-09-14,98981,eva.davis@example.com,-9212493842,Good,True
EMP1112,Heidi,Garcia,40,Cloud Tech-Illinois,Active,2024-12-26,80242,heidi.garcia@example.com,-894870604,Good,True
EMP1113,Eva,Miller,25,Cloud Tech-New York,Pending,2024-09-08,110236,eva.miller@example.com,-6641877579,Average,True
EMP1114,Alice,Davis,35,Sales-Texas,Active,2022-08-21,86327,alice.davis@example.com,-3046875062,Average,False
EMP1115,Eva,Brown,30,Sales-Florida,Pending,2024-07-25,84421,eva.brown@example.com,-5190361331,Average,False
EMP1116,Frank,Smith,40,HR-California,Pending,2020-08-02,110041,frank.smith@example.com,-5411076094,Average,False
EMP1117,Heidi,Miller,35,DevOps-Florida,Pending,2020-03-16,81838,heidi.miller@example.com,-4317350582,Good,True
EMP1118,Frank,Garcia,25,Finance-Illinois,Active,2023-09-08,110856,frank.garcia@example.com,-1997179109,Poor,False
EMP1119,Alice,Jones,30,Sales-California,Pending,2024-03-29,84895,alice.jones@example.com,-651207048,Excellent,True
EMP1120,Alice,Garcia,30,HR-Illinois,Active,2021-08-12,80668,alice.garcia@example.com,-6110804660,Good,True
EMP1121,Bob,Jones,25,DevOps-Illinois,Active,2023-12-24,61086,bob.jones@example.com,-9639907675,Excellent,True
EMP1122,Grace,Johnson,25,Admin-Texas,Inactive,2020-08-28,95340,grace.johnson@example.com,-9915078592,Poor,True
EMP1123,Eva,Davis,32,DevOps-California,Inactive,2024-09-05,83775,eva.davis@example.com,-1109193927,Average,False
EMP1124,Heidi,Jones,32,Admin-Florida,Active,2023-05-12,85577,heidi.jones@example.com,-4567972319,Poor,False
EMP1125,Bob,Garcia,35,Finance-California,Pending,2021-07-01,107438,bob.garcia@example.com,-249685497,Good,True
EMP1126,Eva,Johnson,32,Sales-Nevada,Inactive,2024-11-07,60402,eva.johnson@example.com,-2274954507,Average,False
EMP1127,Frank,Smith,35,Sales-Illinois,Inactive,2022-07-21,115300,frank.smith@example.com,-9203880652,Good,True
EMP1128,David,Brown,32,Finance-New York,Inactive,2020-03-30,72272,david.brown@example.com,-3315377958,Average,False
EMP1129,Grace,Brown,40,DevOps-Nevada,Active,2022-10-11,117538,grace.brown@example.com,-9594652169,Excellent,False
EMP1130,Frank,Brown,25,Finance-Texas,Pending,2022-07-24,51074,frank.brown@example.com,-7303379336,Excellent,True
EMP1131,Charlie,Jones,25,Finance-California,Inactive,2023-06-30,98489,charlie.jones@example.com,-5636205014,Excellent,False
EMP1132,Frank,Smith,32,Finance-California,Pending,2024-01-11,112121,frank.smith@example.com,-812473949,Poor,True
EMP1133,Alice,Jones,32,Cloud Tech-New York,Pending,2023-11-02,114465,alice.jones@example.com,-334234257,Good,False
EMP1134,Bob,Davis,40,Cloud Tech-Nevada,Pending,2024-11-22,57036,bob.davis@example.com,-3230241025,Poor,True
EMP1135,Eva,Jones,25,Cloud Tech-California,Active,2021-08-23,75092,eva.jones@example.com,-1534735527,Excellent,True
EMP1136,David,Smith,32,Finance-Illinois,Pending,2024-06-11,62604,david.smith@example.com,-9611223385,Good,False
EMP1137,Grace,Smith,32,DevOps-New York,Inactive,2023-04-09,60018,grace.smith@example.com,-5596309937,Excellent,False
EMP1138,Eva,Davis,40,HR-Nevada,Active,2024-07-05,82568,eva.davis@example.com,-4253042896,Poor,True
EMP1139,Charlie,Smith,25,Finance-California,Pending,2021-09-04,94726,charlie.smith@example.com,-3179128684,Poor,False
EMP1140,Eva,Garcia,40,HR-New York,Inactive,2024-10-13,83825,eva.garcia@example.com,-7872558776,Poor,False
EMP1141,Frank,Smith,32,HR-Nevada,Inactive,2020-02-14,118456,frank.smith@example.com,-4969033372,Excellent,True
EMP1142,Eva,Brown,25,Sales-Nevada,Pending,2020-04-10,113743,eva.brown@example.com,-6346692547,Good,True
EMP1143,Eva,Garcia,30,Sales-California,Active,2023-07-27,63309,eva.garcia@example.com,-1214785389,Good,False
EMP1144,Charlie,Garcia,25,DevOps-Nevada,Active,2021-09-24,105203,charlie.garcia@example.com,-7895677664,Excellent,True
EMP1145,Frank,Davis,30,Cloud Tech-California,Inactive,2024-03-10,79085,frank.davis@example.com,-7546027340,Good,True
EMP1146,Frank,Williams,32,Sales-California,Active,2021-06-10,113983,frank.williams@example.com,-5148881430,Excellent,True
EMP1147,Eva,Williams,35,Cloud Tech-Florida,Active,2020-10-15,102791,eva.williams@example.com,-1150835353,Good,False
EMP1148,Grace,Smith,32,HR-Texas,Inactive,2020-01-29,68512,grace.smith@example.com,-4439284043,Average,False
EMP1149,Frank,Garcia,35,Sales-Florida,Pending,2022-01-30,57584,frank.garcia@example.com,-5669078262,Average,True
EMP1150,Alice,Williams,32,Sales-California,Pending,2021-03-29,95336,alice.williams@example.com,-3373898774,Poor,False
EMP1151,Heidi,Williams,35,DevOps-Florida,Active,2020-10-13,53174,heidi.williams@example.com,-1536637779,Average,True
EMP1152,Heidi,Smith,25,Cloud Tech-New York,Pending,2020-10-04,77205,heidi.smith@example.com,-5292407552,Average,False
EMP1153,Grace,Williams,32,DevOps-Nevada,Active,2024-12-18,79042,grace.williams@example.com,-6668459089,Average,True
EMP1154,Heidi,Jones,32,Finance-California,Active,2023-11-14,75937,heidi.jones@example.com,-2259999662,Excellent,True
EMP1155,David,Johnson,35,Cloud Tech-Nevada,Inactive,2023-01-20,113119,david.johnson@example.com,-6186371596,Average,False
EMP1156,Alice,Davis,40,HR-New York,Active,2024-10-02,107693,alice.davis@example.com,-4121820969,Average,True
EMP1157,David,Johnson,32,Cloud Tech-Texas,Inactive,2021-05-13,119217,david.johnson@example.com,-2316433480,Poor,False
EMP1158,David,Smith,25,Sales-New York,Pending,2021-03-18,106914,david.smith@example.com,-7058025661,Average,False
EMP1159,Charlie,Brown,32,Cloud Tech-California,Active,2020-09-23,87815,charlie.brown@example.com,-1286716322,Average,True
EMP1160,Bob,Davis,25,Admin-Texas,Inactive,2024-06-05,105190,bob.davis@example.com,-4672994937,Good,True
EMP1161,Alice,Smith,30,HR-Texas,Active,2024-02-28,79467,alice.smith@example.com,-7430271692,Poor,False
EMP1162,Bob,Garcia,40,Finance-California,Pending,2023-04-30,57634,bob.garcia@example.com,-8597779013,Poor,True
EMP1163,Alice,Brown,32,HR-Florida,Pending,2020-03-04,54258,alice.brown@example.com,-7546926328,Poor,True
EMP1164,Grace,Johnson,40,DevOps-Texas,Inactive,2023-12-29,113679,grace.johnson@example.com,-6762916031,Poor,True
EMP1165,Bob,Smith,35,Sales-New York,Active,2020-09-15,69251,bob.smith@example.com,-4841376814,Poor,True
EMP1166,Frank,Garcia,40,Sales-Illinois,Inactive,2022-07-18,85389,frank.garcia@example.com,-1185672437,Poor,True
EMP1167,Bob,Davis,32,DevOps-New York,Inactive,2022-07-13,112166,bob.davis@example.com,-701765635,Excellent,False
EMP1168,Heidi,Davis,40,Finance-Nevada,Active,2021-10-02,79873,heidi.davis@example.com,-41257770,Average,False
EMP1169,Frank,Miller,30,DevOps-Florida,Active,2020-07-05,108224,frank.miller@example.com,-1837274219,Poor,True
EMP1170,Bob,Garcia,35,Admin-Illinois,Active,2023-04-16,116964,bob.garcia@example.com,-9124186209,Average,True
EMP1171,Bob,Jones,40,HR-Nevada,Inactive,2024-11-12,114109,bob.jones@example.com,-4275230836,Average,True
EMP1172,Eva,Williams,32,HR-California,Active,2023-03-29,85519,eva.williams@example.com,-816470899,Excellent,False
EMP1173,Heidi,Brown,30,Cloud Tech-California,Pending,2022-01-22,58042,heidi.brown@example.com,-6335331059,Poor,True
EMP1174,David,Garcia,40,Sales-Illinois,Pending,2023-10-14,94989,david.garcia@example.com,-531312205,Good,False
EMP1175,Eva,Miller,25,Admin-California,Pending,2024-04-10,71629,eva.miller@example.com,-8155839385,Excellent,False
EMP1176,Alice,Williams,30,Admin-Illinois,Pending,2022-03-31,54871,alice.williams@example.com,-6133155205,Good,False
EMP1177,Alice,Williams,25,DevOps-Illinois,Active,2022-02-09,79388,alice.williams@example.com,-5063731494,Average,True
EMP1178,Frank,Smith,35,DevOps-California,Pending,2023-05-06,55947,frank.smith@example.com,-136497188,Average,False
EMP1179,Charlie,Williams,32,Cloud Tech-Nevada,Active,2021-07-11,81018,charlie.williams@example.com,-2419562524,Excellent,True
EMP1180,Heidi,Jones,40,HR-New York,Pending,2020-08-21,74162,heidi.jones@example.com,-7150997682,Excellent,False
EMP1181,Heidi,Davis,32,DevOps-California,Active,2021-03-27,77668,heidi.davis@example.com,-8903091435,Good,True
EMP1182,Alice,Miller,30,HR-New York,Active,2024-04-14,67886,alice.miller@example.com,-3910257431,Poor,False
EMP1183,Alice,Williams,40,DevOps-Florida,Active,2020-09-21,76615,alice.williams@example.com,-6303975244,Good,True
EMP1184,Frank,Smith,25,Finance-Nevada,Active,2022-06-12,51312,frank.smith@example.com,-864035532,Excellent,False
EMP1185,Frank,Jones,32,Finance-Illinois,Inactive,2023-12-24,94810,frank.jones@example.com,-8033968526,Good,True
EMP1186,Grace,Johnson,25,HR-New York,Pending,2022-07-31,108242,grace.johnson@example.com,-171302320,Excellent,True
EMP1187,Bob,Davis,40,Cloud Tech-New York,Inactive,2023-04-21,78031,bob.davis@example.com,-2983381673,Good,True
EMP1188,Eva,Davis,35,Admin-California,Active,2020-06-05,85734,eva.davis@example.com,-2336293448,Excellent,True
EMP1189,David,Miller,35,HR-Nevada,Pending,2024-07-27,60338,david.miller@example.com,-7347156626,Excellent,False
EMP1190,Eva,Davis,30,Admin-Illinois,Active,2024-04-05,103141,eva.davis@example.com,-7689627065,Excellent,False
EMP1191,Heidi,Williams,40,Sales-Illinois,Inactive,2023-10-26,114691,heidi.williams@example.com,-1498282466,Poor,True
EMP1192,Frank,Smith,35,Admin-Florida,Active,2022-08-18,80955,frank.smith@example.com,-4746897151,Good,False
EMP1193,Eva,Davis,32,Cloud Tech-California,Pending,2020-05-31,71729,eva.davis@example.com,-7323008575,Good,True
EMP1194,Alice,Davis,35,HR-Texas,Pending,2024-11-04,118416,alice.davis@example.com,-6656749159,Good,True
EMP1195,Grace,Johnson,40,Sales-Illinois,Pending,2020-03-25,81481,grace.johnson@example.com,-1692364586,Excellent,False
EMP1196,David,Johnson,35,Sales-Florida,Pending,2020-11-04,117041,david.johnson@example.com,-5066337049,Good,True
EMP1197,Frank,Brown,25,Sales-Nevada,Active,2020-03-21,67342,frank.brown@example.com,-2497243991,Good,True
EMP1198,Heidi,Jones,32,Sales-Illinois,Active,2022-01-15,76100,heidi.jones@example.com,-116691835,Excellent,False
EMP1199,Grace,Williams,35,DevOps-Illinois,Active,2024-06-04,94162,grace.williams@example.com,-2644886945,Average,True
EMP1200,Frank,Davis,25,Sales-Nevada,Inactive,2021-08-04,67640,frank.davis@example.com,-1195243639,Excellent,True
EMP1201,Charlie,Garcia,35,Cloud Tech-Illinois,Pending,2020-10-16,114172,charlie.garcia@example.com,-2701168645,Good,True
EMP1202,Grace,Davis,30,Sales-Nevada,Active,2021-09-26,89125,grace.davis@example.com,-2252237280,Excellent,True
EMP1203,Frank,Smith,30,DevOps-Nevada,Pending,2023-11-04,113871,frank.smith@example.com,-7932302345,Average,False
EMP1204,Grace,Brown,32,HR-Texas,Inactive,2021-09-24,62618,grace.brown@example.com,-7912141613,Excellent,False
EMP1205,Heidi,Jones,30,Admin-New York,Active,2020-06-07,70705,heidi.jones@example.com,-1509377099,Good,False
EMP1206,Alice,Garcia,35,Sales-New York,Pending,2022-02-10,60798,alice.garcia@example.com,-4090138068,Average,True
EMP1207,Charlie,Brown,40,Cloud Tech-Florida,Inactive,2023-10-17,100371,charlie.brown@example.com,-8477596554,Poor,True
EMP1208,Eva,Miller,40,Admin-Illinois,Active,2021-09-25,117592,eva.miller@example.com,-5356690550,Good,False
EMP1209,David,Jones,35,DevOps-Illinois,Inactive,2022-08-03,103861,david.jones@example.com,-762091842,Average,True
EMP1210,Grace,Davis,30,Admin-Illinois,Active,2024-11-22,67500,grace.davis@example.com,-5797863049,Average,True
EMP1211,Frank,Davis,32,Cloud Tech-Nevada,Pending,2024-10-09,58727,frank.davis@example.com,-5057397690,Poor,True
EMP1212,Charlie,Jones,35,Finance-Illinois,Active,2024-08-28,80623,charlie.jones@example.com,-5671649327,Excellent,True
EMP1213,David,Davis,40,HR-Texas,Inactive,2020-04-19,77752,david.davis@example.com,-9802714871,Excellent,False
EMP1214,Grace,Williams,25,HR-New York,Active,2021-10-14,115158,grace.williams@example.com,-7178333210,Good,False
EMP1215,Frank,Jones,30,Admin-Texas,Inactive,2024-08-26,83072,frank.jones@example.com,-6025643470,Poor,False
EMP1216,Heidi,Brown,40,Sales-Texas,Active,2020-02-08,67915,heidi.brown@example.com,-2871539914,Excellent,True
EMP1217,Grace,Jones,25,HR-New York,Inactive,2020-09-06,53342,grace.jones@example.com,-6686334140,Poor,False
EMP1218,Heidi,Garcia,25,Cloud Tech-Florida,Pending,2023-01-02,51150,heidi.garcia@example.com,-1159319524,Excellent,False
EMP1219,David,Davis,30,HR-Florida,Active,2023-06-13,74697,david.davis@example.com,-6904098365,Average,True
EMP1220,Charlie,Williams,25,Sales-California,Active,2022-12-13,88086,charlie.williams@example.com,-5528993159,Excellent,True
EMP1221,Alice,Williams,40,Finance-Texas,Pending,2022-03-03,118673,alice.williams@example.com,-8752437728,Poor,False
EMP1222,Alice,Miller,35,Cloud Tech-California,Active,2024-02-10,95997,alice.miller@example.com,-4209548148,Average,False
EMP1223,Frank,Brown,30,Cloud Tech-California,Pending,2021-11-24,106946,frank.brown@example.com,-7374605232,Average,False
EMP1224,Heidi,Johnson,40,DevOps-New York,Active,2020-05-09,100123,heidi.johnson@example.com,-276420864,Average,False
EMP1225,Alice,Johnson,35,Admin-Texas,Active,2024-12-19,52933,alice.johnson@example.com,-6756618442,Poor,True
EMP1226,Grace,Jones,32,Finance-California,Active,2024-03-22,95283,grace.jones@example.com,-8612590471,Good,False
EMP1227,Alice,Miller,35,HR-Texas,Inactive,2022-06-13,112264,alice.miller@example.com,-9277423329,Good,False
EMP1228,Grace,Smith,35,Admin-Florida,Pending,2022-10-15,75714,grace.smith@example.com,-5912662014,Good,True
